fid,cellcode,bati_mean,bati_media,morska_mea,morska_med,geometry
27,10kmE463N241,-29.967147709392712,-30.57430648803711,3.544990723562152,5,"list(c(293683.3414, 294498.1568, 304451.6742, 303636.4848, 293683.3414, 4957609.8138, 4967596.1009, 4966753.6823, 4956768.1119, 4957609.8138))"
28,10kmE463N242,-5.480854822424854,-4.694430112838745,3.187192118226601,4,"list(c(294498.1568, 295314.0023, 305267.8878, 304451.6742, 294498.1568, 4967596.1009, 4977581.7882, 4976738.6555, 4966753.6823, 4967596.1009))"
29,10kmE463N243,4.102132892637176,2.821830749511719,1.314285714285714,1,"list(c(295314.0023, 296130.8764, 306085.124, 305267.8878, 295314.0023, 4977581.7882, 4987566.8822, 4986723.0377, 4976738.6555, 4977581.7882))"
30,10kmE463N244,41.257677493555846,42.26522636413574,1,1,"list(c(296130.8764, 296948.7774, 306903.3812, 306085.124, 296130.8764, 4987566.8822, 4997551.3893, 4996706.8355, 4986723.0377, 4987566.8822))"
36,10kmE464N243,-24.08096373345236,-37.345699310302734,3.576566125290023,4,"list(c(305267.8878, 306085.124, 316038.9829, 315221.3811, 305267.8878, 4976738.6555, 4986723.0377, 4985877.8924, 4975894.2039, 4976738.6555))"
37,10kmE464N244,26.97709425272609,19.741952896118164,1.81437125748503,1,"list(c(306085.124, 306903.3812, 316857.5996, 316038.9829, 306085.124, 4986723.0377, 4996706.8355, 4995860.999, 4985877.8924, 4986723.0377))"
38,10kmE464N245,105.82407017911444,94.449066162109375,1,1,"list(c(306903.3812, 307722.6576, 317677.2297, 316857.5996, 306903.3812, 4996706.8355, 5006690.0552, 5005843.53, 4995860.999, 4996706.8355))"
43,10kmE465N239,-42.81802279179885,-45.946754455566406,4.80700325732899,5,"list(c(311961.157, 312774.6824, 322726.6712, 321912.7532, 311961.157, 4935953.5008, 4945939.5818, 4945095.8482, 4935110.4525, 4935953.5008))"
44,10kmE465N240,-41.535713312052664,-48.930830001831055,4.683229813664596,5,"list(c(312774.6824, 313589.2292, 323541.6048, 322726.6712, 312774.6824, 4945939.5818, 4955925.055, 4955080.6385, 4945095.8482, 4945939.5818))"
45,10kmE465N243,-51.4742560166052,-51.1820068359375,3.989570798235058,4,"list(c(315221.3811, 316038.9829, 325992.483, 325174.5124, 315221.3811, 4975894.2039, 4985877.8924, 4985031.4419, 4975048.429, 4975894.2039))"
46,10kmE465N244,-53.81168040926222,-52.26535224914551,3.98436873747495,4,"list(c(316038.9829, 316857.5996, 326811.4628, 325992.483, 316038.9829, 4985877.8924, 4995860.999, 4995013.8754, 4985031.4419, 4985877.8924))"
47,10kmE465N245,-30.611972560968397,-52.32708930969238,3.627679118187385,4,"list(c(316857.5996, 317677.2297, 327631.4499, 326811.4628, 316857.5996, 4995860.999, 5005843.53, 5004995.7356, 4995013.8754, 4995860.999))"
48,10kmE465N246,61.293949698048586,-15.159788131713867,3.686727122835944,4,"list(c(317677.2297, 318497.8715, 328452.4429, 327631.4499, 317677.2297, 5005843.53, 5015825.4918, 5014977.0292, 5004995.7356, 5005843.53))"
49,10kmE465N247,142.89439954175003,155.1945037841797,3.473846153846154,4,"list(c(318497.8715, 319319.5234, 329274.44, 328452.4429, 318497.8715, 5015825.4918, 5025806.891, 5024957.7626, 5014977.0292, 5015825.4918))"
50,10kmE465N248,121.76564159120097,117.85824966430664,1,1,"list(c(319319.5234, 320142.1838, 330097.4396, 329274.44, 319319.5234, 5025806.891, 5035787.7338, 5034937.9422, 5024957.7626, 5025806.891))"
52,10kmE466N238,-44.4615734177972,-50.15737342834473,4.512073272273105,5,"list(c(321099.8524, 321912.7532, 331864.0037, 331050.701, 321099.8524, 4925124.445, 4935110.4525, 4934266.004, 4924280.6661, 4925124.445))"
53,10kmE466N239,-37.873776779724786,-45.32472610473633,4.21287779237845,5,"list(c(321912.7532, 322726.6712, 332678.3178, 331864.0037, 321912.7532, 4935110.4525, 4945095.8482, 4944250.7325, 4934266.004, 4935110.4525))"
54,10kmE466N240,-29.12305603191091,-34.45491409301758,3.968484848484848,5,"list(c(322726.6712, 323541.6048, 333493.6415, 332678.3178, 322726.6712, 4945095.8482, 4955080.6385, 4954234.858, 4944250.7325, 4945095.8482))"
55,10kmE466N241,-27.25805780606878,-43.670265197753906,4.116650049850449,5,"list(c(323541.6048, 324357.5524, 334309.9733, 333493.6415, 323541.6048, 4955080.6385, 4965064.83, 4964218.3871, 4954234.858, 4955080.6385))"
56,10kmE466N242,1.589103439865058,-7.788756370544434,3.739861523244313,4,"list(c(324357.5524, 325174.5124, 335127.3116, 334309.9733, 324357.5524, 4965064.83, 4975048.429, 4974201.3262, 4964218.3871, 4965064.83))"
57,10kmE466N243,-21.004899204666557,-29.274009704589844,3.402109426499671,4,"list(c(325174.5124, 325992.483, 335945.6545, 335127.3116, 325174.5124, 4975048.429, 4985031.4419, 4984183.6817, 4974201.3262, 4975048.429))"
58,10kmE466N244,-32.26600000454098,-50.80046844482422,3.677165354330709,4,"list(c(325992.483, 326811.4628, 336765.0007, 335945.6545, 325992.483, 4985031.4419, 4995013.8754, 4994165.4601, 4984183.6817, 4985031.4419))"
59,10kmE466N245,-18.92066832806661,-51.71102523803711,3.804154302670623,4,"list(c(326811.4628, 327631.4499, 337585.3483, 336765.0007, 326811.4628, 4995013.8754, 5004995.7356, 5004146.6678, 4994165.4601, 4995013.8754))"
60,10kmE466N246,-61.84982085662342,-64.69383239746094,3.928453267162944,4,"list(c(327631.4499, 328452.4429, 338406.6958, 337585.3483, 327631.4499, 5004995.7356, 5014977.0292, 5014127.3112, 5004146.6678, 5004995.7356))"
61,10kmE466N247,-56.71909366056278,-61.614728927612305,3.903253062948881,4,"list(c(328452.4429, 329274.44, 339229.0416, 338406.6958, 328452.4429, 5014977.0292, 5024957.7626, 5024107.3969, 5014127.3112, 5014977.0292))"
62,10kmE466N248,109.95787664302722,117.47262573242187,2.089285714285714,1,"list(c(329274.44, 330097.4396, 340052.384, 339229.0416, 329274.44, 5024957.7626, 5034937.9422, 5034086.9312, 5024107.3969, 5024957.7626))"
65,10kmE467N238,-45.349228422498335,-49.994956970214844,4.146877748460862,4,"list(c(331050.701, 331864.0037, 341814.9387, 341001.2306, 331050.701, 4924280.6661, 4934266.004, 4933420.1507, 4923435.4644, 4924280.6661))"
66,10kmE467N239,-42.654640056427496,-45.99045944213867,3.405894519131334,4,"list(c(331864.0037, 332678.3178, 342629.6522, 341814.9387, 331864.0037, 4934266.004, 4944250.7325, 4943404.2301, 4933420.1507, 4934266.004))"
67,10kmE467N240,-0.540731623035357,-4.127209901809692,2.97037037037037,4,"list(c(332678.3178, 333493.6415, 343445.3695, 342629.6522, 332678.3178, 4944250.7325, 4954234.858, 4953387.709, 4943404.2301, 4944250.7325))"
68,10kmE467N241,3.873290614093986,5.400205612182617,3.491735537190082,4,"list(c(333493.6415, 334309.9733, 344262.0889, 343445.3695, 333493.6415, 4954234.858, 4964218.3871, 4963370.5938, 4953387.709, 4954234.858))"
69,10kmE467N242,-21.940778467431887,-72.23845291137695,4.023529411764706,4,"list(c(334309.9733, 335127.3116, 345079.8087, 344262.0889, 334309.9733, 4964218.3871, 4974201.3262, 4973352.891, 4963370.5938, 4964218.3871))"
70,10kmE467N243,-27.175600699832135,-42.14304733276367,3.72752808988764,4,"list(c(335127.3116, 335945.6545, 345898.5275, 345079.8087, 335127.3116, 4974201.3262, 4984183.6817, 4983334.6071, 4973352.891, 4974201.3262))"
71,10kmE467N244,-32.87317484164796,-50.60372734069824,3.613725490196078,4,"list(c(335945.6545, 336765.0007, 346718.2434, 345898.5275, 335945.6545, 4984183.6817, 4994165.4601, 4993315.7486, 4983334.6071, 4984183.6817))"
